,Latitude,Longitude,Solar Radiation,Wind Speed,LST,Relative Humidity,Vegetation,Distance From Roads,Elevation,LULC,Aspect,Suitability_raw,Suitability
1746,24.4615088,88.0665362,0.4038444417001036,0.3417220182350757,0.6107857270603522,0.3010445832435926,0.5699935191186001,0.0041578543842892834,0.007133303611234953,1.0,0.25,38.37004180959493,0.44572107430251334
1747,24.4155188,74.4751013,0.5491296443618601,0.4606378150913813,0.746420886783164,0.615496446263192,0.7198098941456038,0.0006551375139128797,0.11056620597414177,0.0,0.25,40.23623925735248,0.48262209553317753
1748,24.424548,87.4842171,0.42075757271152914,0.3622591691076362,0.6640040612916068,0.3769114796467802,0.5387772737092245,0.011705402046976537,0.03544360231832367,0.75,0.25,38.062487116200934,0.439639680136982
1749,24.4348984,85.529513,0.5184453360368297,0.4442757539502454,0.6993455731560196,0.453747576997631,0.6756318859364874,0.0018307176108664726,0.0896121266161391,0.0,0.0,33.84716458892852,0.35628852870341476
1750,24.4279074,83.3503112,0.5247177554847778,0.2941623004249358,0.7282355547565588,0.5000538444970923,0.6116871894577662,0.004082341050513398,0.04993312527864467,0.5,0.5,41.98061182449219,0.5171142277625713
1751,24.4393904,87.86126,0.40737124164610805,0.3445191633318207,0.6344268759218241,0.3234438940340296,0.4889825016202204,0.0011734490823398663,0.00780205082478823,0.0,0.0,26.06131425037072,0.20233599330201554
1752,24.446949,84.3343834,0.5044128079128963,0.33181236849704965,0.7334621286965372,0.49881542106396737,0.5644847699287103,0.002894067936161802,0.05394560855996433,0.75,0.5,44.115243095033044,0.5593230915291137
1753,24.4505,83.2848,0.5211277718263829,0.29676966871570654,0.6813825909806291,0.49601550721516263,0.44383236120112335,0.019731466040695235,0.04458314757021846,0.75,0.0,36.564702157022246,0.4100234170539759
1754,24.450839,94.0262982,0.43022364162198296,0.2618919922439049,0.5002148202560194,0.25699978462201156,0.6020738820479585,0.00381211957272916,0.17766384306732055,0.0,0.0,26.043641082032526,0.20198653512391948
1755,24.469585,79.7507525,0.5127875217911998,0.311473245595941,0.716979921760202,0.5340835666594874,0.671203283646576,0.007533132303339224,0.09473918858671422,0.0,0.25,35.99657856965502,0.3987896965362085
